,Comp_Sent,Count,Nege_Sent,Nuet_Sent,Posi_Sent,Time,Tweeter
200,0.7003,1,0.0,0.746,0.254,2018-03-22 22:56:11+00:00,@WSJ
201,0.34,2,0.0,0.862,0.138,2018-03-22 22:40:25+00:00,@WSJ
202,0.0,3,0.0,1.0,0.0,2018-03-22 22:30:14+00:00,@WSJ
203,0.296,4,0.0,0.891,0.109,2018-03-22 22:10:05+00:00,@WSJ
204,0.3612,5,0.0,0.857,0.143,2018-03-22 22:10:04+00:00,@WSJ
205,0.0,6,0.0,1.0,0.0,2018-03-22 22:00:26+00:00,@WSJ
206,-0.296,7,0.155,0.845,0.0,2018-03-22 21:40:03+00:00,@WSJ
207,0.0,8,0.0,1.0,0.0,2018-03-22 21:20:04+00:00,@WSJ
208,-0.4939,9,0.242,0.758,0.0,2018-03-22 21:15:08+00:00,@WSJ
209,0.4215,10,0.089,0.714,0.196,2018-03-22 21:14:04+00:00,@WSJ
210,0.296,11,0.0,0.896,0.104,2018-03-22 21:05:01+00:00,@WSJ
211,0.0,12,0.0,1.0,0.0,2018-03-22 21:00:18+00:00,@WSJ
212,-0.1531,13,0.258,0.508,0.234,2018-03-22 20:40:07+00:00,@WSJ
213,0.0,14,0.0,1.0,0.0,2018-03-22 20:25:04+00:00,@WSJ
214,0.8834,15,0.0,0.623,0.377,2018-03-22 20:17:04+00:00,@WSJ
215,0.4215,16,0.0,0.843,0.157,2018-03-22 20:10:07+00:00,@WSJ
216,-0.7717,17,0.261,0.739,0.0,2018-03-22 20:06:35+00:00,@WSJ
217,0.5267,18,0.0,0.855,0.145,2018-03-22 20:00:14+00:00,@WSJ
218,-0.5859,19,0.255,0.745,0.0,2018-03-22 19:55:05+00:00,@WSJ
219,0.1901,20,0.0,0.926,0.074,2018-03-22 19:50:05+00:00,@WSJ
220,-0.0516,21,0.15,0.667,0.183,2018-03-22 19:45:06+00:00,@WSJ
221,0.0,22,0.0,1.0,0.0,2018-03-22 19:40:10+00:00,@WSJ
222,0.0,23,0.0,1.0,0.0,2018-03-22 19:40:07+00:00,@WSJ
223,0.4404,24,0.0,0.854,0.146,2018-03-22 19:40:04+00:00,@WSJ
224,0.0,25,0.0,1.0,0.0,2018-03-22 19:35:02+00:00,@WSJ
225,0.0956,26,0.111,0.719,0.169,2018-03-22 19:25:05+00:00,@WSJ
226,0.1027,27,0.0,0.903,0.097,2018-03-22 19:10:08+00:00,@WSJ
227,0.3182,28,0.0,0.892,0.108,2018-03-22 19:08:49+00:00,@WSJ
228,0.7717,29,0.0,0.705,0.295,2018-03-22 19:00:14+00:00,@WSJ
229,-0.7096,30,0.253,0.694,0.053,2018-03-22 18:45:09+00:00,@WSJ
230,0.0,31,0.0,1.0,0.0,2018-03-22 18:40:09+00:00,@WSJ
231,0.0258,32,0.129,0.783,0.088,2018-03-22 18:38:02+00:00,@WSJ
232,0.5338,33,0.072,0.742,0.186,2018-03-22 18:30:13+00:00,@WSJ
233,-0.1027,34,0.06,0.94,0.0,2018-03-22 18:22:02+00:00,@WSJ
234,-0.696,35,0.232,0.768,0.0,2018-03-22 18:15:05+00:00,@WSJ
235,0.0,36,0.0,1.0,0.0,2018-03-22 18:05:04+00:00,@WSJ
236,0.0,37,0.0,1.0,0.0,2018-03-22 18:00:09+00:00,@WSJ
237,-0.6808,38,0.389,0.392,0.22,2018-03-22 17:52:03+00:00,@WSJ
238,0.6705,39,0.0,0.703,0.297,2018-03-22 17:45:04+00:00,@WSJ
239,0.0,40,0.0,1.0,0.0,2018-03-22 17:40:06+00:00,@WSJ
240,0.4173,41,0.0,0.872,0.128,2018-03-22 17:35:09+00:00,@WSJ
241,0.0,42,0.0,1.0,0.0,2018-03-22 17:26:05+00:00,@WSJ
242,0.0,43,0.0,1.0,0.0,2018-03-22 17:23:03+00:00,@WSJ
243,0.3612,44,0.0,0.884,0.116,2018-03-22 17:20:04+00:00,@WSJ
244,0.0,45,0.0,1.0,0.0,2018-03-22 17:15:11+00:00,@WSJ
245,0.0,46,0.0,1.0,0.0,2018-03-22 17:08:02+00:00,@WSJ
246,0.0772,47,0.102,0.78,0.117,2018-03-22 17:00:13+00:00,@WSJ
247,0.0,48,0.0,1.0,0.0,2018-03-22 16:52:07+00:00,@WSJ
248,0.4215,49,0.0,0.833,0.167,2018-03-22 16:45:04+00:00,@WSJ
249,-0.6705,50,0.209,0.791,0.0,2018-03-22 16:40:45+00:00,@WSJ
250,0.3818,51,0.0,0.833,0.167,2018-03-22 16:40:05+00:00,@WSJ
251,0.4939,52,0.07,0.75,0.18,2018-03-22 16:30:14+00:00,@WSJ
252,0.3818,53,0.0,0.806,0.194,2018-03-22 16:17:06+00:00,@WSJ
253,0.1027,54,0.0,0.92,0.08,2018-03-22 16:15:03+00:00,@WSJ
254,0.4215,55,0.0,0.823,0.177,2018-03-22 16:10:05+00:00,@WSJ
255,0.5423,56,0.0,0.824,0.176,2018-03-22 16:07:45+00:00,@WSJ
256,0.5994,57,0.0,0.782,0.218,2018-03-22 16:00:14+00:00,@WSJ
257,0.3612,58,0.0,0.829,0.171,2018-03-22 15:55:07+00:00,@WSJ
258,-0.7935,59,0.281,0.719,0.0,2018-03-22 15:40:16+00:00,@WSJ
259,0.5859,60,0.0,0.758,0.242,2018-03-22 15:40:08+00:00,@WSJ
260,-0.0516,61,0.127,0.763,0.11,2018-03-22 15:30:23+00:00,@WSJ
261,-0.5267,62,0.191,0.735,0.074,2018-03-22 15:20:11+00:00,@WSJ
262,0.0,63,0.0,1.0,0.0,2018-03-22 15:15:32+00:00,@WSJ
263,0.0,64,0.0,1.0,0.0,2018-03-22 15:05:03+00:00,@WSJ
264,0.0,65,0.0,1.0,0.0,2018-03-22 15:00:26+00:00,@WSJ
265,-0.765,66,0.306,0.694,0.0,2018-03-22 14:53:02+00:00,@WSJ
266,0.6597,67,0.111,0.556,0.333,2018-03-22 14:45:07+00:00,@WSJ
267,-0.1531,68,0.096,0.904,0.0,2018-03-22 14:40:09+00:00,@WSJ
268,0.4404,69,0.0,0.828,0.172,2018-03-22 14:30:10+00:00,@WSJ
269,0.0,70,0.0,1.0,0.0,2018-03-22 14:25:04+00:00,@WSJ
270,0.0,71,0.0,1.0,0.0,2018-03-22 14:20:06+00:00,@WSJ
271,-0.5574,72,0.256,0.641,0.103,2018-03-22 14:15:09+00:00,@WSJ
272,-0.2023,73,0.122,0.878,0.0,2018-03-22 14:05:07+00:00,@WSJ
273,0.0,74,0.0,1.0,0.0,2018-03-22 14:00:19+00:00,@WSJ
274,-0.7351,75,0.256,0.744,0.0,2018-03-22 13:53:04+00:00,@WSJ
275,-0.3612,76,0.111,0.889,0.0,2018-03-22 13:45:06+00:00,@WSJ
276,0.5267,77,0.0,0.848,0.152,2018-03-22 13:30:05+00:00,@WSJ
277,-0.1786,78,0.096,0.904,0.0,2018-03-22 13:20:10+00:00,@WSJ
278,0.0,79,0.0,1.0,0.0,2018-03-22 13:15:13+00:00,@WSJ
279,-0.5267,80,0.134,0.866,0.0,2018-03-22 13:07:02+00:00,@WSJ
280,0.0772,81,0.0,0.929,0.071,2018-03-22 13:00:20+00:00,@WSJ
